Period,N,Proportion,ClauseType
1275,406,0.56545961,FiniteSubordinate
1275,10,0.013927577,Nonfinite
1275,35,0.048746518,Conjoined
1275,267,0.371866295,Independent
1325,590,0.618448637,FiniteSubordinate
1325,24,0.025157233,Nonfinite
1325,42,0.044025157,Conjoined
1325,298,0.312368973,Independent
1375,1451,0.533652078,FiniteSubordinate
1375,70,0.025744759,Nonfinite
1375,197,0.072453108,Conjoined
1375,1001,0.368150055,Independent
1425,3963,0.38659643,FiniteSubordinate
1425,416,0.040581407,Nonfinite
1425,901,0.087893864,Conjoined
1425,4971,0.4849283,Independent
1475,1960,0.32152231,FiniteSubordinate
1475,115,0.018864829,Nonfinite
1475,1523,0.249835958,Conjoined
1475,2498,0.409776903,Independent
1525,681,0.436538462,FiniteSubordinate
1525,75,0.048076923,Nonfinite
1525,263,0.168589744,Conjoined
1525,541,0.346794872,Independent
1575,74,0.606557377,FiniteSubordinate
1575,6,0.049180328,Nonfinite
1575,2,0.016393443,Conjoined
1575,40,0.327868852,Independent